P,R,F
8.307086378335952759e-01,6.889590135422246631e-01,7.532228552008584099e-01
7.563195601105690002e-01,5.831539493439525934e-01,6.585434281924245070e-01
9.094063043594360352e-01,4.287949589177452170e-01,5.827955026172665365e-01
6.881430223584175110e-01,4.948671254618414173e-01,5.757167172379550335e-01
9.379697342713673169e-01,6.453199472663730951e-01,7.645986536962404712e-01
7.670601189136505571e-01,5.839128133294910761e-01,6.630721035750750669e-01
8.055987507104873657e-01,6.255265397244486048e-01,7.042337974268089162e-01
9.573966860771179199e-01,6.020059185869552909e-01,7.392041923363613654e-01
7.700964808464050293e-01,6.410587650888106559e-01,6.996779417894031239e-01
7.175060311953226355e-01,5.863395683905657796e-01,6.453251470608354357e-01
7.883508443832397683e-01,6.494293006027446191e-01,7.121786168529700145e-01
9.628528356552124023e-01,5.920660457190345394e-01,7.332504323465509621e-01
7.402067780494689941e-01,5.123540098176282420e-01,6.055560967601879563e-01
7.907911181449890359e-01,5.821587476660223803e-01,6.706231283001128363e-01
9.582667648792266846e-01,6.973972620332942185e-01,8.072804714740416943e-01
7.526265382766723633e-01,6.072034597396850364e-01,6.721390741491800602e-01
9.452645778656005859e-01,5.314202094779294505e-01,6.803519671724543860e-01
7.804435342550277710e-01,6.778946045567008083e-01,7.255634985501087098e-01
8.051717758178711382e-01,6.950986697393305436e-01,7.460972545850469428e-01
7.674553990364074707e-01,5.608381884939530604e-01,6.480770513177602776e-01
7.889579415321350542e-01,6.462255818002363705e-01,7.104942280813054678e-01
9.275074005126953125e-01,5.999449232777397389e-01,7.286032402756286164e-01
7.693217009305954868e-01,6.224732254887676008e-01,6.881504617189276862e-01
8.875616669654846635e-01,6.251911203284840068e-01,7.336237322998063748e-01
7.728609417875607068e-01,6.291069244290447005e-01,6.936138578003427924e-01
9.111953377723693848e-01,5.290168001429065292e-01,6.693981104634056933e-01
7.572711817920207977e-01,6.482546439210137290e-01,6.985350981440584528e-01
7.994498223066330844e-01,6.853827619618112488e-01,7.380348910276053331e-01
7.920363277196884599e-01,6.368141591876418373e-01,7.059940178549878320e-01
7.688220106065273285e-01,6.500430275778195099e-01,7.044607823766828592e-01
9.501292109489440918e-01,5.662107847549103790e-01,7.095683127453867867e-01
7.203309945762157440e-01,5.883950853085779809e-01,6.477126474646177634e-01
8.310974836349487305e-01,6.154872786540251939e-01,7.072242731069197097e-01
7.868771284818649736e-01,6.663024933128567362e-01,7.215875928549057017e-01
9.130693674087524414e-01,6.181178515429025522e-01,7.371854580640341270e-01
9.552146792411804199e-01,4.770212119116502558e-01,6.362885705379993651e-01
7.638715654611587524e-01,6.385280184886035215e-01,6.955983197028300369e-01
9.311013221740722656e-01,5.823843906907474333e-01,7.165695342564880610e-01
7.718431204557418823e-01,6.327464047600240837e-01,6.954073780837946028e-01
8.949503302574157715e-01,5.014333088608349254e-01,6.427430009856633930e-01
7.362213333447773511e-01,4.653403759002685547e-01,5.702470532615603327e-01
7.679867893457412720e-01,6.292905498953426102e-01,6.917550516381123504e-01
8.218664824962615967e-01,6.995862356003592630e-01,7.558124834466982689e-01
7.094463904698689038e-01,5.608349242631126552e-01,6.264475562274078868e-01
9.507781267166137695e-01,4.940357356387026222e-01,6.502129907528728658e-01
7.741578072309494019e-01,5.856986882055507104e-01,6.668692081567157981e-01
8.062607824802399126e-01,6.567480779745998865e-01,7.238646785441521514e-01
5.979668498039245605e-01,5.011017186676754998e-01,5.452657363493425002e-01
7.661094367504119873e-01,6.190003328463610233e-01,6.847428366392890320e-01
8.471214771270751953e-01,4.204935236735557469e-01,5.620146411516560025e-01
7.938756108283997470e-01,5.136150645046699825e-01,6.237084221812039253e-01
7.871885299682617188e-01,5.356678023813217226e-01,6.375167727532928819e-01
8.460037452833992777e-01,5.243027152084723808e-01,6.473910377236439251e-01
8.617675105730692175e-01,4.789525057847907608e-01,6.157075355884358281e-01
7.406304478645324707e-01,4.323538101119239752e-01,5.459824270302500171e-01
8.021156311035156916e-01,5.739275796142051522e-01,6.691014920815566702e-01
8.554830891745430765e-01,6.110978947906959835e-01,7.129288058953797691e-01
8.012602686882019931e-01,5.037411379862607452e-01,6.185859379274343262e-01
9.667120575904846191e-01,3.846678577393778387e-01,5.503456903951225998e-01
7.342536300420761108e-01,4.797153400211799923e-01,5.802993955917448154e-01
9.278144985437393188e-01,5.639779245465752489e-01,7.015277556765556755e-01
8.220058917999267800e-01,5.394048706545093719e-01,6.513742861033444687e-01
8.478170463017054015e-01,6.116814865329401885e-01,7.106468139883330704e-01
9.624192317326862867e-01,5.598572630813156703e-01,7.079100266611147996e-01
7.369483783841133118e-01,5.523752997750821514e-01,6.314505633059865897e-01
7.350769490003585815e-01,6.011543644295223032e-01,6.614045212708472565e-01
7.537590086460114192e-01,5.948439720964086019e-01,6.649384720469960763e-01
9.639571309089660645e-01,5.092508675179620026e-01,6.664313602555631544e-01
7.871822193264961243e-01,5.503181465833947295e-01,6.477765105783096500e-01
7.590244064728418616e-01,6.066537519943886458e-01,6.743389739188134779e-01
9.087227682272592810e-01,5.643753177229908768e-01,6.963021755737937024e-01
7.309654891490936501e-01,5.738576152834339306e-01,6.429532264299026023e-01
9.637448191642761230e-01,5.067563031030737353e-01,6.642412634699593754e-01
7.010556280612946223e-01,5.648616793147032134e-01,6.256324280462793874e-01
8.022362112998963068e-01,5.513517091023749650e-01,6.535435187284486247e-01
7.689117014408112238e-01,6.268052721153134499e-01,6.906241270768292972e-01
7.755327011857713337e-01,5.925147477267445062e-01,6.717816157066832661e-01
9.345996379852294922e-01,5.240903868416854072e-01,6.715815937274246528e-01
7.845264002680778503e-01,5.567597086549899155e-01,6.513042774984203476e-01
8.288505256175995317e-01,5.744096467254359295e-01,6.785623179388744486e-01
8.017119988799095154e-01,5.795965222043728549e-01,6.727960904716075996e-01
9.348104596138000488e-01,5.224717962769194202e-01,6.703054237277427108e-01
