P,R,F
9.336933890978494910e-01,3.530991397384140584e-01,5.124156770914009007e-01
8.161497414112091064e-01,3.561595557257533073e-01,4.959092792603592703e-01
1.886994242668151855e-01,5.997288958169520040e-02,9.101817215226715163e-02
8.805093169212341309e-01,3.142543184497442743e-01,4.631943040211711216e-01
8.555264234542847568e-01,5.035992909636762827e-01,6.339994831703613665e-01
8.132811188697814941e-01,3.081330923535125499e-01,4.469335658528971189e-01
7.376081943511962891e-01,3.260774765991502622e-01,4.522340110457709894e-01
9.726408918698628003e-01,5.344256305176278143e-01,6.898225316309287702e-01
6.968020598093668250e-01,3.184786212527089821e-01,4.371531211684042684e-01
5.538858920335769653e-01,4.056909249528594663e-01,4.683449534830054217e-01
9.648687839508056641e-01,3.757082884830812985e-01,5.408255994871744576e-01
8.993990421295166016e-01,5.616347705540449819e-01,6.914744481308502388e-01
6.672638058662414551e-01,2.009145067103447480e-01,3.088374276556391518e-01
2.697362899780273438e-01,1.233719954996005258e-01,1.693065528385664098e-01
6.721013585726419715e-01,4.142711829880009189e-01,5.125906892008619264e-01
1.000000000000000000e+00,2.976429976763263485e-01,4.587440431756840131e-01
9.869601726531982422e-01,4.259919718555781887e-01,5.951186835667756636e-01
2.137301489710807800e-01,9.410900304154042051e-02,1.306781876709670331e-01
8.969655156135559748e-01,4.128809693840241879e-01,5.654708331583608860e-01
9.269071817398071289e-01,4.372638302004855371e-01,5.942114016209941729e-01
9.905915260314941406e-01,5.614963012226557026e-01,7.167293862141884686e-01
9.372071921825408936e-01,3.165380341872092163e-01,4.732408403237821082e-01
5.791292786598205566e-01,3.300977870821952820e-01,4.205094646277438564e-01
9.547858933607736853e-01,4.847127124667167664e-01,6.429973024250633662e-01
9.553392330805460242e-01,2.537672760993687215e-01,4.010131995636060376e-01
9.840998351573944092e-01,4.514357455201067904e-01,6.189436872624571873e-01
6.427939385175704956e-01,3.204929816411502541e-01,4.277249937171574423e-01
3.134503215551376343e-01,1.979220091696765327e-01,2.426361916341501501e-01
9.620799720287322998e-01,3.898048955780356595e-01,5.548157125218523555e-01
7.635947068532307203e-01,3.965252870220248860e-01,5.219884355101181983e-01
2.255008071660995483e-01,7.491571091310078589e-02,1.124675393240039262e-01
8.759447534879047925e-01,4.613759885147466488e-01,6.044023155127088431e-01
9.764787554740905762e-01,4.362696818375991770e-01,6.030912011235410874e-01
8.266255514962331796e-01,4.194181815012177350e-01,5.564841368079022077e-01
8.011206388473510742e-01,1.996935794074366222e-01,3.196969926897509917e-01
6.860510706901550293e-01,1.834665724326536573e-01,2.895109477048246616e-01
9.642836650212605054e-01,5.479839533567428811e-01,6.988339477670395539e-01
9.888781905174255371e-01,6.189989213432584014e-01,7.613946722107415299e-01
8.650278449058532715e-01,3.381286103278398625e-01,4.862055334874813006e-01
7.405334711074829102e-01,3.185740597546100616e-01,4.454972651980937948e-01
9.750939607620239258e-01,5.529170313051768870e-01,7.056834811099755855e-01
9.915002584457397461e-01,3.857647975285847797e-01,5.554281578403609254e-01
3.466027379035949707e-01,1.230835661292076083e-01,1.816578454386530983e-01
2.743111699819564819e-01,2.076406925916671753e-01,2.363645241104674610e-01
4.992999931176503314e-01,4.210896521806716808e-01,4.568718509812779716e-01
